WBS Code,Activity Name,Resource,Hours,Hourly Rate (PKR),Total Cost (PKR),Week
4.3.2,Conduct stress testing (500+ concurrent users),QA Tester,8,2500,20000.00,19
4.3.3,Optimize API response times and database queries,Database Administrator,12,3500,42000.00,20
4.3.4,Conduct security vulnerability scanning,External Auditor,8,8000,64000.00,20
4.3.5,Perform penetration testing on all systems,External Auditor,12,8000,96000.00,20
4.3.6,Address all critical security vulnerabilities,Backend Developer,16,3000,48000.00,20
4.4.1,Test customer app on 10+ device models,QA Tester,12,2500,30000.00,20
4.4.2,Test rider app on 5+ Android devices,QA Tester,8,2500,20000.00,20
4.4.3,Test web portals across multiple browsers,QA Tester,8,2500,20000.00,20
4.4.4,Conduct user acceptance testing (UAT) with stakeholders,Business Analyst,12,3500,42000.00,20
4.4.5,Obtain UAT sign-off and approval,Project Manager,4,5000,20000.00,20
5.1.1,Provision production cloud servers (AWS/GCP),Technical Lead,8,4500,36000.00,21
5.1.2,Configure load balancer and auto-scaling,Backend Developer,8,3000,24000.00,21
5.1.3,Set up production database with replication,Database Administrator,10,3500,35000.00,21
5.1.4,Configure Redis cache cluster,Backend Developer,6,3000,18000.00,21
5.1.5,Set up CDN for static assets,Backend Developer,4,3000,12000.00,21
5.1.6,Install SSL certificates and configure HTTPS,Backend Developer,4,3000,12000.00,21
5.1.7,"Set up monitoring, alerting, and logging systems",Backend Developer,8,3000,24000.00,21
5.1.8,Configure automated backup and disaster recovery,Database Administrator,8,3500,28000.00,21
5.2.1,Deploy backend APIs to production,Backend Developer,6,3000,18000.00,22
5.2.2,Deploy admin dashboard to production,Frontend Developer,4,3000,12000.00,22
5.2.3,Deploy restaurant portal to production,Frontend Developer,4,3000,12000.00,22
5.2.4,Submit and publish customer app to App Store,Frontend Developer,6,3000,18000.00,22
5.2.5,Submit and publish customer app to Google Play,Frontend Developer,6,3000,18000.00,22
5.2.6,Submit and publish rider app to Google Play,Frontend Developer,6,3000,18000.00,22
5.2.7,Conduct production smoke testing and validation,QA Tester,8,2500,20000.00,22
6.1.1,Define delivery zones and configure pricing,Delivery Operations Manager,8,3000,24000.00,21
6.1.2,"Procure delivery bags, uniforms, and equipment",Rider Coordinator,12,2500,30000.00,21
6.1.3,Recruit and interview 20 delivery riders,Rider Coordinator,40,2500,100000.00,21
6.1.4,Complete rider onboarding and documentation,Rider Coordinator,16,2500,40000.00,22
6.1.5,Distribute equipment and uniforms to riders,Rider Coordinator,8,2500,20000.00,22
6.1.6,Set up rider scheduling and zone assignments,Delivery Operations Manager,8,3000,24000.00,22
6.2.1,Develop training materials for all user types,Business Analyst,16,3500,56000.00,21
6.2.2,Create video tutorials and documentation,Business Analyst,12,3500,42000.00,21
6.2.3,Conduct 2-day restaurant staff training workshop,Business Analyst,16,3500,56000.00,22
6.2.4,Conduct 3-day delivery rider training program,Delivery Operations Manager,24,3000,72000.00,22
6.2.5,Conduct admin dashboard training for management,Project Manager,4,5000,20000.00,22
6.2.6,Evaluate training effectiveness with assessments,Business Analyst,6,3500,21000.00,22
6.3.1,Develop brand identity and marketing guidelines,Marketing Manager,12,3000,36000.00,21
6.3.2,Create social media content and campaigns,Marketing Manager,16,3000,48000.00,21
6.3.3,Design in-store promotional materials,UI/UX Designer,10,2500,25000.00,22
6.3.4,"Set up launch promotions (25% off, referral program)",Marketing Manager,6,3000,18000.00,22
6.3.5,Configure loyalty program in system,Backend Developer,6,3000,18000.00,22
7.1.1,Launch with limited delivery zone (Week 23),Project Manager,8,5000,40000.00,23
7.1.2,Monitor system performance 24/7,Technical Lead,40,4500,180000.00,23
7.1.3,Collect user feedback and address issues,Business Analyst,20,3500,70000.00,23
7.1.4,Optimize workflows based on real operations,Delivery Operations Manager,16,3000,48000.00,23
7.2.1,Execute full marketing campaign,Marketing Manager,12,3000,36000.00,24
7.2.2,Expand delivery zones progressively,Delivery Operations Manager,12,3000,36000.00,24
7.2.3,Scale rider fleet based on demand,Rider Coordinator,16,2500,40000.00,25
7.2.4,Monitor KPIs and customer acquisition,Project Manager,12,5000,60000.00,25
7.3.1,Conduct post-launch performance review,Project Manager,8,5000,40000.00,26
7.3.2,Document lessons learned,Project Manager,8,5000,40000.00,26
7.3.3,Create project closure report,Project Manager,12,5000,60000.00,26
7.3.4,Handover to operations team with final presentation,Project Manager,6,5000,30000.00,26
